ADR,ADROGUE,"8,5",190,1615
AVE,AVELLANEDA,"10,2",190,1938
ABO,ALDO BONZI,"18,9",190,3591
BAN,BANFIELD,0,190,0
BAR,BARRACAS,"12,1",190,2299
BEC,BECCAR,"44,5",190,8455
BEV,BELLA VISTA,"60,8",190,11552
BEN,BENAVIDEZ,"59,6",190,11324
BER,BERISSO,"60,8",190,11552
BRN,BERNAL,"19,2",190,3648
BOU,BOULOGNE,42,190,7980
BUR,BURZACO,"12,9",190,2451
CAM,CAMPANA,113,190,21470
CAN,CANNING,36,190,6840
CAU,CAÑUELAS,"61,7",190,11723
CAP,CAPITAL FEDERAL,"26,6",190,5054
CAR,CARAPACHAY,"37,2",190,7068
CAS,CASEROS,"29,2",190,5548
CIB,CITY BELL,"48,1",190,9139
CIE,CIUDAD EVITA,"24,9",190,4731
CID,CIUDADELA,"26,4",190,5016
CLA,CLAYPOLE,"12,7",190,2413
DVI,DEL VISO,"64,3",190,12217
DTO,DON TORCUATO,"46,3",190,8797
GCA,GONZALEZ CATAN,"35,4",190,6726
ENS,ENSENADA,"58,9",190,11191
ESC,ESCOBAR,87,190,16530
EZE,EZEIZA,"33,4",190,6346
EZP,EZPELETA,"26,1",190,4959
FVA,FLORENCIO VARELA,"20,7",190,3933
FLO,FLORIDA,"36,7",190,6973
GAR,GARIN,59,190,11210
GER,GERLI,"10,5",190,1995
GRD,GRAL RODRIGUEZ,"60,2",190,11438
GRB,GRAND BOURG,"59,7",190,11343
HAE,HAEDO,"31,6",190,6004
HUR,HURLINGHAM,"38,5",190,7315
ISC,ISIDRO CASANOVA,25,190,4750
INM,ING. MASCHWITZ,"61,4",190,11666
ITU,ITUZAINGO,"35,3",190,6707
JLS,JOSE LEON SUAREZ,"42,2",190,8018
JCP,JOSE C. PAZ,"62,9",190,11951
JIN,JOSE INGENIEROS,"21,2",190,4028
LZM,LOMAS DE ZAMORA,"5,8",190,1102
LAL,LA LUCILA,"37,9",190,7201
LAP,LA PLATA,"57,7",190,10963
LAF,LAFERRERE,26,190,4940
LAN,LANUS,"5,8",190,1102
LAV,LAVALLOL,"9,2",190,1748
LIB,LIBERTAD,"36,8",190,6992
LDM,LOMAS DEL MIRADOR,"16,7",190,3173
LOH,LOMA HERMOSA,33,190,6270
LON,LONGCHAMPS,"18,2",190,3458
LOP,LOS POLVORINES,"53,8",190,10222
LUJ,LUJAN,"76,6",190,14554
MRC,MERCEDES,133,190,25270
MER,MERLO,43,190,8170
MGR,MONTE GRANDE,"14,2",190,2698
MRO,MORENO,"48,8",190,9272
MOR,MORON,30,190,5700
MUN,MUNRO,"35,3",190,6707
OLI,OLIVOS,40,190,7600
PAD,PABLO PODESTA,51,190,9690
GRP,GRAL. PACHECO,"67,9",190,12901
PAL,PALOMAR,31,190,5890
PAR,PASO DEL REY,40,190,7600
PIL,PILAR,77,190,14630
QUI,QUILMES,20,190,3800
RDE,REMEDIOS DE ESCALADA,"2,6",190,494
RAC,RAFAEL CASTILLO,29,190,5510
RAM,RAMOS MEJIA,20,190,3800
RAN,RANELAGH,34,190,6460
TOR,TORTUGUITAS,60,190,11400
SAG,SAN A. DE GILES,139,190,26410
SAP,SAN A. DE PADUA,37,190,7030
SAF,SAN FERNANDO,46,190,8740
SAI,SAN ISIDRO,43,190,8170
SAJ,SAN JUSTO,27,190,5130
SAM,SAN MARTIN,"31,4",190,5966
SMG,SAN MIGUEL,55,190,10450
SAV,SAN VICENTE,54,190,10260
STL,SANTOS LUGARES,25,190,4750
SAR,SARANDI,13,190,2470
LTB,LA TABLADA,17,190,3230
TAP,TAPIALES,19,190,3610
TEM,TEMPERLEY,5,190,950
TIG,TIGRE,48,190,9120
TTS,TRISTAN SUAREZ,30,190,5700
VAL,VALENTIN ALSINA,8,190,1520
VCL,VICENTE LOPEZ,34,190,6460
VIC,VICTORIA,45,190,8550
VIA,VILLA ADELINA,40,190,7600
VIB,VILLA BALLESTER,37,190,7030
VID,VILLA DOMINICO,11,190,2090
VBO,VILLA BOSCH,37,190,7030
VIM,VILLA MADERO,17,190,3230
VMA,VILLA MARTELLI,33,190,6270
VMY,VILLA DE MAYO,52,190,9880
VIT,VILLA TESEI,33,190,6270
VIP,VIRREY DEL PINO,39,190,7410
VRR,VIRREYES,43,190,8170
WIL,WILDE,11,190,2090
ZAR,ZARATE,126,190,23940
